[0.00 - 2.00]  There we go. Okay.
[4767.38 - 4768.90]  which was wow, that's too different.
[4769.54 - 4772.34]  And I was supposed to be, and I saw this Asian man,
[4772.34 - 4774.02]  who told me, don't worry.
[4774.58 - 4777.14]  It's going to be fine because this house is a room for you.
[4777.14 - 4777.86]  That's the house.
[4778.66 - 4781.06]  That's 18 years before I met his daughter.
[4781.06 - 4781.86]  Wow.
[4781.86 - 4782.58]  Right.
[4783.14 - 4784.34]  And I never forget that.
[4784.34 - 4787.94]  Because I was trained as a kid to collect and remember my visions.
[4787.94 - 4788.18]  Right.
[4788.18 - 4789.86]  Which is, it's important.
[4789.86 - 4790.18]  No.
[4790.18 - 4793.14]  If you want anything to have me, you have anything to figure it out.
[4793.14 - 4793.22]  Yeah.
[4793.22 - 4793.46]  Yeah.
[4793.46 - 4800.66]  So, so I knew this vision was important, but I could not figure out what it meant.
[4801.54 - 4805.30]  All that my body was like, oh, okay.
[4805.30 - 4806.34]  It's going, we're all right.
[4806.34 - 4809.78]  My body knew that it was going to be all right.
[4809.78 - 4810.50]  How to interpret that.
[4810.50 - 4812.02]  Because I didn't even interpret it.
[4812.02 - 4814.02]  I just knew the guy was right.
[4814.58 - 4816.82]  And I was at a house and there was like a nice house,
[4816.82 - 4817.70]  you know, for me to live in.
[4817.70 - 4818.42]  And it's like, yeah.
[4819.06 - 4819.70]  Okay.
[4819.70 - 4821.78]  So I'm all, let's know everything is going to work out.
[4822.34 - 4822.82]  Yeah.
[4822.82 - 4823.78]  And actually told him.
[4824.50 - 4827.22]  And I said, you know, so I casually in this Christian,
[4827.22 - 4829.94]  maybe you were making a prayer about homelessness.
[4830.02 - 4832.50]  And that prayer hit me at the right time.
[4834.90 - 4836.66]  I mean, you know, I mean, this, I, so,
[4836.66 - 4840.66]  when we get into like, holographic theory and multidimensional theory.
[4840.66 - 4842.74]  You know, I, I, I, I, I, I, I, I, I, I, I, I,
[4842.74 - 4847.06]  categorize my dream since, like this and, and the dream that prepared me to the future.
[4847.06 - 4849.78]  I like, this was my dream because I was actually walking.
[4849.78 - 4851.94]  Have you heard of Mahayana Buddhism?
[4852.66 - 4857.30]  Because they get deep into dreams in a way that you are very familiar with.
[4857.30 - 4860.82]  And I'm not like I'm thinking of all the stuff they teach.
[4860.82 - 4862.82]  And then I'm familiar with that you were saying.
[4862.82 - 4866.34]  It's a, it's a, it's a, it's a muscle to practice actually.
[4867.22 - 4867.94]  Dream yoga.
[4867.94 - 4868.66]  That's what they call it.
[4868.66 - 4868.82]  Okay.
[4868.82 - 4869.62]  I'm going to tell you.
[4869.62 - 4871.14]  That's one of the story already.
[4871.14 - 4876.10]  How I learned it in a teaching a parapsychology workshop at the BU
[4876.10 - 4877.14]  security department.
[4877.14 - 4877.62]  No.
[4877.62 - 4878.50]  It sounds fun.
[4879.30 - 4880.02]  Yeah.
[4880.02 - 4880.50]  Okay.
[4880.50 - 4881.62]  So I'm connecting to the gym.
[4881.62 - 4886.74]  I'm part of a psychic network of people, you know, who taught me.
[4886.74 - 4893.94]  And basically I mean, and I'm actually, I was squaring in the Boston Center for the Earth.
[4894.82 - 4897.94]  Anyway, I'm having this incredible dream.
[4897.94 - 4902.18]  I'm classic sci-fi, you know, trope, new age trope.
[4902.18 - 4904.10]  I mean, the UFO, I mean, healing this.
[4904.10 - 4907.78]  I want to go this planet, but I'm crash landing on earth and then first time.
[4907.78 - 4914.58]  The meantime, my brain is aware of like a 15 page long equation.
[4914.66 - 4918.74]  And I know every single looking dream is, and in my dream, I'm like,
[4918.74 - 4919.54]  I'm like, I'm like, right?
[4919.54 - 4921.30]  Just sit down because when I wake up, I'm like,
[4922.42 - 4925.38]  quick, dude, you cannot write your dream inside of a dream.
[4925.38 - 4928.42]  No, you can't write in a dream.
[4928.42 - 4931.54]  You know, you know, you know, it's like, yeah, because the end we kept, you know,
[4931.54 - 4933.06]  general, I said, okay, okay.
[4933.06 - 4939.14]  So I'm crash landing on earth and I put an invisible force field around it.
[4939.94 - 4942.74]  And then I started making up with me and radio control is just like,
[4942.74 - 4943.62]  what am I doing here?
[4943.62 - 4949.14]  It's like, no, no, no, no, no, no, no, no, no.
[4949.14 - 4956.02]  And I'm supposed to, so the native, the creatures live here,
[4956.02 - 4957.62]  they cannot perceive me.
[4957.62 - 4958.50]  They cannot see me.
[4958.50 - 4961.38]  It's like, I'm not dance enough.
[4961.38 - 4967.30]  So I need to slow down and thicken my dance to be perceived.
[4967.30 - 4967.70]  Correct.
[4967.70 - 4968.66]  And that's in that dream.
[4968.66 - 4969.14]  Right.
[4969.14 - 4970.90]  So really, it was amazing.
[4970.98 - 4973.14]  Anyway, I thought like an existential angst.
[4973.14 - 4975.62]  I felt really if we started like a lucid dream, right?
[4975.62 - 4976.90]  Like, what am I coming in?
[4976.90 - 4980.66]  And so I'm slowing down and saying, but I can't, I can't hold on to that.
[4981.86 - 4982.90]  So in my dream, I was like,
[4983.70 - 4988.74]  I thought you'd put up like a speaking like this.
[4988.74 - 4997.62]  And then they would, they would just like start to evaporate.
[4997.62 - 5002.10]  Like I did, they would start to become, to speed up their frequency
[5002.10 - 5003.70]  and become more ethereal.
[5004.42 - 5004.74]  Right.
[5005.94 - 5007.54]  But it was like a fucking drag.
[5007.54 - 5008.58]  It was like, oh my god.
[5009.14 - 5011.94]  And I was like, well, okay, also, yeah, well, that's your job.
[5011.94 - 5013.14]  That's what you're supposed to do.
[5013.14 - 5014.18]  I'm like, fuck.
[5014.18 - 5015.46]  So I'm writing these strings.
[5015.46 - 5016.50]  It's like three pages.
[5016.50 - 5016.98]  Okay.
[5016.98 - 5019.30]  So I, so conclusion of history.
[5019.30 - 5020.82]  So you're apparently,
[5021.94 - 5024.90]  conclusion is like you have access to a lot more knowledge
[5024.90 - 5028.18]  because that mathematical equation was unbelievable.
[5028.18 - 5028.50]  Yeah.
[5028.50 - 5030.18]  It's like velocity, gravity,
[5031.38 - 5035.14]  light, speed or light and speed of something else that was not even right,
[5035.14 - 5036.66]  that was fast enough and stuff like this.
[5037.78 - 5040.58]  You know, I just committed and it's like,
[5040.58 - 5042.74]  where it looks like I keep me, I keep,
[5042.74 - 5047.46]  kept leaving my body, you know, as like, even though I tried to stay in my body,
[5047.46 - 5048.98]  you know, and there was like,
[5048.98 - 5053.54]  I teach people to, to, to be less dense, I guess.
[5054.10 - 5055.14]  So this is weird.
[5055.14 - 5056.82]  This is, this is really weird.
[5056.82 - 5059.70]  But you know what, obviously you know a lot more
[5060.66 - 5063.94]  than you think, you know, you know, as I close my book,
[5063.94 - 5065.06]  the four names.
[5065.06 - 5068.34]  I close the book, the four names.
[5068.34 - 5070.18]  I never forget that tiny, close the book.
[5071.46 - 5071.94]  Hello.
[5072.66 - 5073.06]  Hello.
[5073.06 - 5077.86]  This is Professor Barron from BU Psychology, the botnet.
[5077.86 - 5081.14]  I understand you teach astro-ponjection.
[5083.54 - 5089.46]  So I took a deep breath because I had the dream book in my left hand
[5089.46 - 5090.82]  and refered in my right hand.
[5093.78 - 5095.06]  And it was a test of faith.
[5096.82 - 5099.46]  So an invitation.
[5099.46 - 5105.06]  This was like, so I said, yes, and then a side screaming inside.
[5105.06 - 5107.62]  I don't know what the fuck about one thing about, you know,
[5107.62 - 5112.90]  but your dreams is like, okay, so it was a test of loyalty also and courage.
[5112.98 - 5113.30]  Yes.
[5114.50 - 5115.94]  So I said, yes, I always start.
[5115.94 - 5116.66]  And I said, so I didn't-
[5116.66 - 5119.14]  You can't claim to be honest if you never speak your truth.
[5119.14 - 5123.38]  I did, I did, I did a four to five week workshop for about five years.
[5123.38 - 5125.38]  No, it was unbelievable.
[5125.38 - 5126.18]  Wow.
[5126.18 - 5130.02]  Now this is next part of the story on my way to my first.
[5130.02 - 5132.66]  And I realized that I had all the two.
[5132.66 - 5138.02]  I mean, I had gathered, I had, you know, my own personal experiences and the dream.
[5138.50 - 5139.86]  It's a trust the process.
[5141.22 - 5143.38]  I was born to trust my dreams.
[5143.38 - 5146.90]  I was like, we need that and betray it.
[5146.90 - 5150.66]  I used to say, you know, that you're an amazing betrayal.
[5151.22 - 5151.62]  Right.
[5151.62 - 5152.42]  Sad betrayal.
[5152.42 - 5152.82]  Right.
[5153.78 - 5155.30]  What do you think those dreams come from?
[5155.30 - 5157.62]  You know, it's like people don't trust their dreams.
[5157.62 - 5159.38]  I mean, it's been a good trip.
[5159.38 - 5162.82]  So it was in Kenmore Square.
[5162.82 - 5164.98]  It was like a student pad.
[5164.98 - 5166.66]  You know, they had baby lululets.
[5167.38 - 5173.70]  So I was like, okay, so when we started on dreams, actually, I had my dream of stepping leverage.
[5173.70 - 5175.38]  And I'd be like, there's Lucy dreaming.
[5175.38 - 5176.98]  And I was like, okay, where are you going to do?
[5176.98 - 5177.86]  Get meditation.
[5178.74 - 5181.38]  You know, I said, okay, so I had pain on my notes.
[5181.38 - 5183.06]  I had a lot of game, actually, about then.
[5185.78 - 5188.26]  And on my way there, I was really crying.
[5188.26 - 5189.22]  It was rush hour.
[5189.22 - 5191.38]  It was like, by like five, you must have worked.
[5192.34 - 5195.86]  I see this tall young male, black,
[5196.50 - 5198.10]  and a suit, lululee.
[5198.82 - 5200.18]  Can we make eye contact?
[5200.18 - 5201.22]  Mm-hmm.
[5201.22 - 5201.78]  Yeah.
[5201.78 - 5203.06]  And we stop.
[5203.70 - 5204.02]  Yeah.
[5204.66 - 5206.66]  And we got like, and we can't even talk.
[5206.66 - 5211.38]  This is like, so I guess you say, so what you're up to?
[5211.94 - 5216.34]  Well, I'm about to teach my first astral projection class.
[5216.34 - 5217.46]  And it's all perfect.
[5217.46 - 5218.18]  I'm walking.
[5221.46 - 5223.62]  I'm like, okay, well, come with me.
[5227.22 - 5228.58]  This way to go across my heart.
[5230.58 - 5233.78]  And just like I did, I don't even listen.
[5234.58 - 5238.90]  And so we were students and we did a lot of prep.
[5238.90 - 5242.98]  We did finding your frequency.
[5243.86 - 5245.78]  Finding what's your vibe, what's your frequency,
[5245.78 - 5248.10]  and then holding hands with a big circle.
[5248.18 - 5251.94]  And then back in, back out, back in, back out, back out, back out.
[5251.94 - 5254.74]  And then started building an energy,
[5254.74 - 5257.30]  everybody saw the energy spin, even the septic,
[5257.30 - 5259.46]  so I think I say it's okay to be sketchy.
[5259.46 - 5262.18]  But please hang and sketchy this another door.
[5262.18 - 5264.82]  You can always wear it back like a coat.
[5264.82 - 5265.22]  Right.
[5265.22 - 5267.30]  But you need to be, we need to have experience.
[5267.30 - 5268.98]  Have a hard rule against doubt.
[5268.98 - 5273.14]  Don't disbelieve people that are literally trying to do something right in front of you.
[5273.14 - 5274.58]  That's casting stones.
[5274.58 - 5277.78]  Like if you were, if you were telling me you're a guitar fan.
[5278.26 - 5280.42]  And I was like, you're not a guitar player.
[5280.42 - 5284.02]  I got stories about that.
[5284.58 - 5289.14]  I got stories about that because the stone actually feels real and heavy and hurt.
[5289.14 - 5291.38]  You can actually feel it, even when that's famous.
[5292.82 - 5294.18]  And it's choked psychics.
[5294.18 - 5296.34]  This is what you already got choked on TV.
[5298.34 - 5300.42]  Oh my god, I got stories for you.
[5300.42 - 5303.86]  And as soon as the judgment dissipates, magic happens.
[5303.86 - 5304.34]  Yeah.
[5304.34 - 5306.10]  Invisibly, it's soundly.
[5306.10 - 5307.54]  Oh, hey, you're absolutely there.
[5308.42 - 5314.82]  And this participation, because if I'm defining my life based on this rule right now,
[5314.82 - 5318.02]  and you are participating in my life, you don't have permission.
[5318.74 - 5321.06]  You know, that's why doubt is so mean.
[5321.06 - 5322.82]  It reduces free will.
[5322.82 - 5323.06]  Yeah.
[5323.06 - 5324.34]  And this is, yeah, no, no.
[5325.78 - 5326.82]  Yeah, yeah.
[5326.82 - 5329.62]  I actually have a couple of amazing stories about that.
[5330.58 - 5332.58]  The wall is just incredibly palpable.
[5333.54 - 5335.22]  You know, it's just incredible.
[5335.22 - 5336.58]  But we're starting to brainstorm.
[5337.22 - 5340.10]  And I think we need to wrap up some.
[5340.10 - 5340.74]  Anyway, yeah.
[5342.74 - 5346.26]  Anyway, I left everybody a guided meditation.
[5346.26 - 5350.18]  I put a piece of paper on the floor in the kitchen.
[5351.14 - 5354.90]  And I put a spoon up here and I put a criss.
[5354.90 - 5357.62]  Everybody will stop our consciousness here.
[5357.62 - 5359.94]  You're going to go down and you're going to drop the paper.
[5359.94 - 5361.86]  And the stranger just drew it.
[5361.86 - 5362.74]  Yeah, it's a spoon.
[5362.74 - 5364.74]  And there was different room.
[5364.74 - 5367.06]  So you could totally cause anyway.
[5368.02 - 5368.26]  Yeah.
[5369.54 - 5371.46]  Anyway, that's a digress.
[5372.10 - 5372.82]  It does work.
[5375.06 - 5379.94]  Okay, let me let me I have this is my design document.
[5379.94 - 5382.10]  It's really, really long, as you can see.
[5383.30 - 5387.14]  But I'm going to cruise through this real quick to see where I'm at.
[5387.14 - 5390.18]  So I've done the Google login.
[5390.18 - 5396.10]  I'm setting up Google Drive so that we can add in easy share videos.
[5396.10 - 5399.94]  So people own and use their videos share a link with you.
[5399.94 - 5401.86]  You view it, share a link back.
[5404.34 - 5407.54]  That allows them to keep all the content for the rest of their life.
[5407.54 - 5412.02]  But they're the journals and all the videos that they make themselves.
[5412.82 - 5415.78]  Okay, so and then on top of that, I did download.
[5416.42 - 5422.42]  The AI model that's conversational so that you can you can use the AI by talking instead of chatting.
[5423.94 - 5424.82]  Instead of texting.
[5425.94 - 5427.94]  So I'm working on setting that up.
[5429.06 - 5431.14]  33 billion brand names.
[5433.38 - 5433.70]  Okay.
[5437.94 - 5439.94]  And then Java Web socket.
[5439.94 - 5441.30]  True idea session.
[5446.74 - 5447.70]  Are you going to the bathroom?
[5450.02 - 5451.06]  I got too excited.
[5451.46 - 5451.86]  Yeah.
[5453.30 - 5453.62]  Okay.
[5455.46 - 5456.50]  It is a lot of fun.
[5457.38 - 5463.70]  Based on your teaching style, you need to be in front of a camera and making videos.
[5463.70 - 5464.98]  You're very charismatic.
[5466.10 - 5467.70]  And it works for you very well.
[5470.58 - 5470.98]  Okay.
[5471.94 - 5473.70]  Um, I'm getting a camera.
[5473.70 - 5475.62]  I'm getting a pen and R.E.
[5476.42 - 5476.90]  Oh, wow.
[5477.94 - 5479.78]  Um, that's awesome.
[5479.78 - 5483.30]  Cause a nice camera and a nice microphone does make a good difference.
[5483.94 - 5489.22]  But with your charisma, you could use like an old crappy cell phone and it would still be great.
[5489.22 - 5492.10]  Because you're, you're really good in front of the camera.
[5492.10 - 5495.38]  And you know why you're saying what you're saying, which is important.
[5496.98 - 5503.46]  So that those, but those two aspects mean that you, we need to transition a bit more towards
[5503.70 - 5514.18]  a, uh, a video production over the next few weeks where I can set up, um, the space for videos.
[5514.18 - 5520.66]  I can create the, the video, um, YouTube links and everything.
[5520.66 - 5526.74]  And I can also, um, add them to the curriculum.
[5526.74 - 5529.38]  Did you see, did you see the space in a garage?
[5529.38 - 5530.90]  Did I show you a space in the garage?
[5530.90 - 5533.30]  Uh, oh, I'm going to turn around.
[5533.30 - 5534.10]  I'm still recording.
[5535.46 - 5540.18]  Let me, before we get into that, because I do want to see that I wanted to check and see,
[5540.98 - 5545.86]  um, of the website and what we've gone over.
[5545.86 - 5549.22]  Is there anything that you don't like or would like to change?
[5549.22 - 5554.34]  I was like an overview of, I think that the guitar tool to complicated.
[5554.34 - 5558.98]  I'm not crazy about the, um, the guitar playing thing.
[5558.98 - 5561.46]  I don't know how useful that is.
[5561.46 - 5563.62]  The app where you can press buttons and things like that.
[5563.62 - 5565.54]  Yeah, I mean, I mean, it, it can be there.
[5565.54 - 5569.30]  It can be there, but I, I'd rather see them play the wrong guitar.
[5569.30 - 5570.10]  Right.
[5570.10 - 5574.98]  But they could double check, I guess, you know, but, um, I don't know.
[5576.58 - 5582.98]  Um, I think it would make a nice substitute if they don't have their guitar.
[5582.98 - 5583.14]  Yeah.
[5583.14 - 5584.50]  And I want to train their ear.
[5584.50 - 5584.98]  True.
[5584.98 - 5585.46]  True.
[5585.46 - 5587.70]  You know, because you could put in a hand-flowing and be like,
[5588.26 - 5588.50]  Yeah.
[5588.50 - 5588.82]  No.
[5588.82 - 5589.70]  And then imagine it.
[5589.70 - 5589.78]  No.
[5589.78 - 5589.94]  No.
[5589.94 - 5590.74]  That's true.
[5590.74 - 5592.66]  And it's like, I mean, it's so smart.
[5592.66 - 5593.30]  The goal is,
[5593.30 - 5595.22]  It's a smart and a kiss game of thing, you know.
[5595.22 - 5595.70]  Yeah.
[5595.70 - 5598.66]  The goal is definitely to have them in front of the guitar.
[5598.66 - 5601.30]  And so I will take a picture of your tree.
[5601.30 - 5607.14]  So I can remember what we talked about and tie it into, um,
[5608.66 - 5609.30]  There we go.
[5609.30 - 5610.26]  So I can, um.
[5611.22 - 5611.70]  There we go.
[5611.70 - 5614.82]  I still have the transcript, but I'm going to, here it is.
[5615.38 - 5617.38]  We've been talking for an hour and 33 minutes.
[5617.38 - 5618.18]  You're way, no way.
[5618.18 - 5619.70]  Still transcribing in real time.
[5619.70 - 5620.34]  Oh, God.
[5620.82 - 5621.94]  Cause it's but.
[5621.94 - 5625.56]  So
